arrival_time,event_time,updateId
1692440167609.051,1692440166948,3180680315558
1692440167611.9988,1692440166953,3180680315924
1692440167613.9988,1692440166953,3180680315947
1692440167626.6072,1692440166967,3180680316806
1692440167639.6091,1692440166971,3180680317425
1692440167645.6096,1692440166979,3180680318534
1692440167648.6096,1692440166987,3180680319443
1692440167650.609,1692440166989,3180680319570
1692440167653.6099,1692440166994,3180680320091
1692440167656.6082,1692440166994,3180680320110
1692440167658.6099,1692440166998,3180680320298
1692440167661.6096,1692440167000,3180680320487
1692440167667.6138,1692440167008,3180680320959
1692440167671.611,1692440167008,3180680321019
1692440167675.6123,1692440167012,3180680321231
1692440167677.6106,1692440167016,3180680321453
1692440167686.634,1692440167026,3180680321838
1692440167693.6353,1692440167030,3180680321895
1692440167710.1592,1692440167040,3180680322285
1692440167714.161,1692440167042,3180680322347
1692440167716.1597,1692440167044,3180680322504
1692440167718.1602,1692440167057,3180680323000
1692440167727.16,1692440167064,3180680323143
1692440167729.1606,1692440167068,3180680323304
1692440167731.16,1692440167068,3180680323325
1692440167735.1628,1692440167070,3180680323374
1692440167744.3843,1692440167079,3180680323678
1692440167748.3865,1692440167082,3180680323893
1692440167749.387,1692440167084,3180680323990
1692440167755.3865,1692440167090,3180680324118
1692440167756.3875,1692440167094,3180680324186
1692440167763.6724,1692440167100,3180680324342
1692440167769.7202,1692440167102,3180680324360
1692440167772.7205,1692440167102,3180680324368
1692440167774.7222,1692440167107,3180680324470
1692440167777.7197,1692440167109,3180680324517
1692440167784.7212,1692440167118,3180680324791
1692440167787.728,1692440167120,3180680324824
1692440167790.7246,1692440167123,3180680325003
1692440167792.7263,1692440167126,3180680325091
1692440167802.806,1692440167142,3180680325540
1692440167809.8098,1692440167146,3180680325676
1692440167901.011,1692440167241,3180680328141
1692440167902.0078,1692440167241,3180680328160
1692440167912.01,1692440167250,3180680328319
1692440167926.4265,1692440167263,3180680328809
1692440167934.422,1692440167272,3180680329118
1692440167936.4214,1692440167272,3180680329135
1692440167942.4229,1692440167282,3180680329382
1692440167943.4238,1692440167284,3180680329492
1692440167948.4238,1692440167288,3180680329606
1692440167953.4277,1692440167292,3180680329658
1692440167954.428,1692440167294,3180680329784
1692440167963.4258,1692440167301,3180680329969
1692440167965.426,1692440167305,3180680330121
1692440167966.4258,1692440167307,3180680330164
1692440167972.4263,1692440167313,3180680330384
1692440167985.4285,1692440167324,3180680330715
1692440167993.4294,1692440167332,3180680330922
1692440167998.9478,1692440167336,3180680331093
1692440168001.947,1692440167341,3180680331245
1692440168004.9468,1692440167345,3180680331421
1692440168005.949,1692440167345,3180680331437
1692440168007.9485,1692440167345,3180680331467
1692440168008.9507,1692440167347,3180680331531
1692440168010.9524,1692440167347,3180680331542
1692440168011.9517,1692440167347,3180680331595
1692440168013.9485,1692440167353,3180680331821
1692440168016.953,1692440167358,3180680332040
1692440168019.9475,1692440167359,3180680332183
1692440168020.9468,1692440167361,3180680332295
1692440168024.9495,1692440167365,3180680332334
1692440168025.947,1692440167365,3180680332352
1692440168037.9485,1692440167378,3180680332715
1692440168038.948,1692440167378,3180680332726
1692440168040.9514,1692440167381,3180680332866
1692440168047.95,1692440167388,3180680333038
1692440168052.3027,1692440167388,3180680333051
1692440168053.3037,1692440167388,3180680333080
1692440168056.3079,1692440167396,3180680333207
1692440168058.3057,1692440167396,3180680333216
